base_ts_unix,base_elapsed_s,gripper_dt_sec,external_dt_sec,base_gripper,base_rx_mdeg,base_ry_mdeg,base_rz_mdeg,base_speed,base_t_ms,base_timestamp_unix,base_waypoint_index,base_x_um,base_y_um,base_z_um,external_elapsed_s,external_pos1,external_pos2,external_pos3,external_tactile_data,external_timestamp_unix
1777012329.928945,0.000000,,+0.001451,none,179999,0,0,60,1907,1777012329.928945,0,490116,0,424995,382.78205013275146,3043,3045,2012,,1777012329.930396
1777012339.868945,9.940000,,-0.003493,none,179999,0,0,60,11847,1777012339.868945,1,560276,0,184715,392.71710562705994,3043,3045,2012,,1777012339.8654516
1777012356.926945,26.998000,,-0.021945,none,179999,0,-9768,60,28905,1777012356.926945,2,560276,0,184715,409.75665378570557,3044,3045,2012,,1777012356.9049997
1777012370.550945,40.622000,,-0.031193,none,179999,0,-9768,60,42529,1777012370.550945,3,560276,0,164883,423.37140583992004,2869,2871,1848,,1777012370.5197518
1777012389.421945,59.493000,,+0.022572,none,179999,0,-9768,60,61400,1777012389.421945,4,560276,0,164883,442.2961711883545,2184,2221,1235,,1777012389.4445171
1777012397.479945,67.551000,,-0.020183,none,179999,0,-9768,60,69458,1777012397.479945,5,560276,0,427283,450.3114159107208,2184,2221,1235,,1777012397.4597619
1777012408.168945,78.240000,,-0.006162,none,179999,0,-9768,60,80147,1777012408.168945,6,560276,-217400,427283,461.01443696022034,2184,2220,1235,,1777012408.162783
1777012413.922945,83.994000,,-0.000826,none,179999,0,-9768,60,85901,1777012413.922945,7,560276,-217400,172963,466.7737729549408,2184,2220,1235,,1777012413.922119
1777012436.075945,106.147000,,+0.003995,none,179999,0,-9768,60,108054,1777012436.075945,8,560276,-217400,172963,488.93159437179565,2948,2945,1909,,1777012436.0799403
1777012444.414945,114.486000,,+0.016203,none,179999,0,-9768,60,116393,1777012444.414945,9,560276,-217400,406863,497.2828018665314,2948,2945,1909,,1777012444.4311478
